spa,importer1,importer2,flow1,flow2
6,"Reason: No Family","Reason: No Family",11.04,25.69
6,"Reason: No Family","History: Physical Abuse",8.5,2.16
6,"Reason: No Family","Reason: Death in Family",4.26,0.72
6,"Reason: No Family","History: PTSD",1.94,1.92
6,"Reason: No Family","History: Alcohol Abuse",49.1,31.15
6,"History: Physical Abuse","Juvenile Detention Involvement",0.91,5.4
6,"History: Physical Abuse","Reason: No Family",22.36,4
6,"History: Physical Abuse","Reason: Foster Care",3.75,5.39
6,"History: Physical Abuse","History: PTSD",3.49,6.93
6,"Reason: Death in Family","Reason: Eviction",7.4,6.79
6,"Reason: Death in Family","History: Physical Illness",2.13,2.04
6,"Reason: Death in Family","Reason: No Family",9.34,6.9
6,"Reason: Death in Family","History: Physical Abuse",5.27,0.4
6,"Reason: Death in Family","Reason: Foster Care",5.94,0.24
6,"Reason: Death in Family","History: PTSD",1.14,0
6,"Reason: Foster Care","Juvenile Detention Involvement",7.71,14.05
6,"Reason: Unihabitable Housing","History: Severe Depression",14.05,4.31
6,"Reason: Unihabitable Housing","Reason: Eviction",52.04,34.33
6,"Reason: Unihabitable Housing","History: Physical Illness",34.81,8.26
6,"Reason: Unihabitable Housing","Reason: No Family",0.37,0.84
6,"Reason: Unihabitable Housing","History: Physical Abuse",11.94,4.22
6,"History: Alcohol Abuse","History: Severe Depression",5.95,8.36
6,"History: Alcohol Abuse","Reason: Substance Abuse",85.58,35.73
6,"History: Alcohol Abuse","Juvenile Detention Involvement",47.8,13.16
6,"History: Alcohol Abuse","Reason: Job",231.56,67.65
6,"History: Alcohol Abuse","Reason: Eviction",131.67,100.39
6,"History: Alcohol Abuse","History: Physical Illness",15.28,27.05
6,"History: Alcohol Abuse","Reason: Jail Prison",138.63,35.97
6,"History: Alcohol Abuse","Reason: No Family",54.03,69.24
6,"History: Alcohol Abuse","History: Physical Abuse",120.66,34.16
6,"History: Alcohol Abuse","Reason: Death in Family",55.19,17.74
6,"History: Alcohol Abuse","Reason: Foster Care",42.85,14.73
6,"History: Alcohol Abuse","Reason: Unihabitable Housing",25.14,9.16
6,"History: Alcohol Abuse","History: PTSD",28.05,26.08
6,"History Drug Alcohol","Developmental Disability",9.31,5.49
6,"History Drug Alcohol","History: Severe Depression",7.64,2.37
6,"History Drug Alcohol","Reason: Substance Abuse",13.77,26.39
6,"History Drug Alcohol","Reason: Domestic Violence",71.06,14.22
6,"History Drug Alcohol","Juvenile Detention Involvement",0.61,2.69
6,"History Drug Alcohol","Reason: Job",66.26,45.35
6,"History Drug Alcohol","Reason: Eviction",94.24,96.36
6,"History Drug Alcohol","History: Physical Illness",22.14,19.04
6,"History Drug Alcohol","Reason: Jail Prison",13.29,38.09
6,"History Drug Alcohol","Reason: No Family",88.46,53.63
6,"History Drug Alcohol","History: Physical Abuse",3.62,7.37
6,"History Drug Alcohol","Reason: Death in Family",4.13,11.45
6,"History Drug Alcohol","Reason: Foster Care",3.32,5.01
6,"History Drug Alcohol","Reason: Unihabitable Housing",14.08,0.03
6,"History Drug Alcohol","History: PTSD",12.31,0.25
6,"History Drug Alcohol","History: Alcohol Abuse",169.96,422.18
7,"Developmental Disability","Reason: Substance Abuse",7.92,16.9
7,"Developmental Disability","Reason: Job",10.24,17.87
7,"Developmental Disability","Reason: Eviction",15.64,18.86
7,"Developmental Disability","History: Physical Illness",14.03,4.04
7,"Developmental Disability","Reason: No Family",2.82,2.7
7,"Developmental Disability","Reason: Death in Family",2.42,5.87
7,"Developmental Disability","History: Alcohol Abuse",34.42,63.03
7,"History: Severe Depression","History: Physical Illness",23.17,29.78
7,"History: Severe Depression","Reason: No Family",29.5,32.44
7,"History: Severe Depression","History: Physical Abuse",18.07,14.52
7,"Reason: Substance Abuse","History: Severe Depression",3.01,5.29
7,"Reason: Substance Abuse","Juvenile Detention Involvement",0.26,1.95
7,"Reason: Substance Abuse","Reason: Job",70.38,79.9
7,"Reason: Substance Abuse","Reason: Eviction",60.73,79.99
7,"Reason: Substance Abuse","History: Physical Illness",5.08,6.02
7,"Reason: Substance Abuse","Reason: No Family",16.54,7.660831
7,"Reason: Substance Abuse","History: Physical Abuse",23.54,5.9
7,"Reason: Substance Abuse","Reason: Death in Family",7.75,6.87
7,"Reason: Substance Abuse","Reason: Foster Care",10.93,3.33
7,"Reason: Substance Abuse","Reason: Unihabitable Housing",1.21,5.74
7,"Reason: Domestic Violence","Developmental Disability",5.81,3.51
7,"Reason: Domestic Violence","History: Severe Depression",1.08,8.81
7,"Reason: Domestic Violence","Reason: Substance Abuse",1.75,0.0078243
7,"Reason: Domestic Violence","Reason: Job",7.15,0
7,"Reason: Domestic Violence","History: Physical Illness",2.94,3.07
7,"Reason: Domestic Violence","Reason: No Family",7.64,1.81
7,"Reason: Domestic Violence","Reason: Death in Family",0.27,0.3
7,"Reason: Domestic Violence","History: Alcohol Abuse",28.04,28.65
7,"Reason: Job","History: Severe Depression",13.87,10.92
7,"Reason: Job","Juvenile Detention Involvement",0.39,3.84
7,"Reason: Job","Reason: Eviction",80.38,87.53
7,"Reason: Job","History: Physical Illness",28.04,29.36
7,"Reason: Job","Reason: No Family",32.76,26.4
7,"Reason: Job","History: Physical Abuse",43.48,15.44
7,"Reason: Job","Reason: Death in Family",41.41,25.41
7,"Reason: Job","Reason: Foster Care",8.08,2.62
7,"Reason: Job","Reason: Unihabitable Housing",21,39.72
7,"Reason: Eviction","History: Severe Depression",206.35,128.44
7,"Reason: Eviction","Juvenile Detention Involvement",17.53,39.74
7,"Reason: Eviction","History: Physical Illness",43.11,29.45
7,"Reason: Eviction","Reason: No Family",9.9,30.05
7,"Reason: Eviction","History: Physical Abuse",168.78,83.06
7,"Reason: Eviction","Reason: Foster Care",29.03,48.33
7,"History: Physical Illness","Reason: No Family",7.34,3.17
7,"History: Physical Illness","History: Physical Abuse",25.53,1.74
7,"Reason: Jail Prison","History: Severe Depression",5.56,3.31
7,"Reason: Jail Prison","Reason: Substance Abuse",40.86,36.82
7,"Reason: Jail Prison","Juvenile Detention Involvement",0.16,3.22
7,"Reason: Jail Prison","Reason: Job",8.87,8.2
7,"Reason: Jail Prison","Reason: Eviction",91.58,49.83
7,"Reason: Jail Prison","History: Physical Illness",0,3.81
7,"Reason: Jail Prison","Reason: No Family",3.08,1.19
7,"Reason: Jail Prison","History: Physical Abuse",56.76,4.28
7,"Reason: Jail Prison","Reason: Foster Care",8.11,3.03
7,"Reason: Jail Prison","Reason: Unihabitable Housing",1.08,0.68
7,"Reason: No Family","Developmental Disability",0.91,0.14
7,"Reason: No Family","Reason: Substance Abuse",3.32,10.65
7,"Reason: No Family","Reason: Job",12.64,9.59
7,"Reason: No Family","Reason: Eviction",32.04,19.01
7,"Reason: No Family","History: Physical Illness",3.47,0.7436225
7,"Reason: No Family","Reason: No Family",31.5,29.1
7,"Reason: No Family","History: Physical Abuse",7.29,1.12
7,"Reason: No Family","Reason: Death in Family",4.75,1.15
7,"Reason: No Family","History: Alcohol Abuse",72.21,37.39
7,"History: Physical Abuse","Juvenile Detention Involvement",5.95,12.69
7,"History: Physical Abuse","Reason: No Family",17.4,26.2
7,"History: Physical Abuse","Reason: Foster Care",3.8,9.31
7,"Reason: Death in Family","History: Severe Depression",2.18,0.37
7,"Reason: Death in Family","Reason: Eviction",12.56,19.07
7,"Reason: Death in Family","History: Physical Illness",2.76,5.09
7,"Reason: Death in Family","Reason: No Family",7.16,6.22
7,"Reason: Death in Family","History: Physical Abuse",8.2,0.51
7,"Reason: Death in Family","Reason: Foster Care",4.76,0.47
7,"Reason: Foster Care","Juvenile Detention Involvement",12.99,15.65
7,"Reason: Unihabitable Housing","History: Severe Depression",13.9,11.41
7,"Reason: Unihabitable Housing","Reason: Eviction",67.57,39.44
7,"Reason: Unihabitable Housing","History: Physical Illness",38.97,10.81
7,"Reason: Unihabitable Housing","Reason: No Family",0.29,1.96
7,"Reason: Unihabitable Housing","History: Physical Abuse",9.18,5.15
7,"Reason: Unihabitable Housing","Reason: Death in Family",0.41,2.83
7,"History: Alcohol Abuse","History: Severe Depression",6.62,12.12
7,"History: Alcohol Abuse","Reason: Substance Abuse",113.26,51.93
7,"History: Alcohol Abuse","Juvenile Detention Involvement",63.55,20.51
7,"History: Alcohol Abuse","Reason: Job",258.4,96.27
7,"History: Alcohol Abuse","Reason: Eviction",150.27,134.93
7,"History: Alcohol Abuse","History: Physical Illness",16.47,42.27
7,"History: Alcohol Abuse","Reason: Jail Prison",151.23,52.71
7,"History: Alcohol Abuse","Reason: No Family",83.05,121.52
7,"History: Alcohol Abuse","History: Physical Abuse",105.85,53.01
7,"History: Alcohol Abuse","Reason: Death in Family",76.54,27.11
7,"History: Alcohol Abuse","Reason: Foster Care",51.25,26.12
7,"History: Alcohol Abuse","Reason: Unihabitable Housing",33.53,11.9
7,"History Drug Alcohol","Developmental Disability",8.06,11.28
7,"History Drug Alcohol","History: Severe Depression",10.06,6.96
7,"History Drug Alcohol","Reason: Substance Abuse",14.6,50
7,"History Drug Alcohol","Reason: Domestic Violence",70.64,11.57
7,"History Drug Alcohol","Juvenile Detention Involvement",1.78,20.14
7,"History Drug Alcohol","Reason: Job",75.45,76.43
7,"History Drug Alcohol","Reason: Eviction",100.44,188.35
7,"History Drug Alcohol","History: Physical Illness",24.61,34.27
7,"History Drug Alcohol","Reason: Jail Prison",20.59,83.84
7,"History Drug Alcohol","Reason: No Family",107.0103,61.43
7,"History Drug Alcohol","History: Physical Abuse",7.03,8.03
7,"History Drug Alcohol","Reason: Death in Family",5.4,15.45
7,"History Drug Alcohol","Reason: Foster Care",3.48,11.83
7,"History Drug Alcohol","Reason: Unihabitable Housing",15.79,0.25
7,"History Drug Alcohol","History: Alcohol Abuse",143.38,668.86
8,"Developmental Disability","Reason: Substance Abuse",8.56,46.43
8,"Developmental Disability","Reason: Job",20.86,50.35
8,"Developmental Disability","Reason: Eviction",28.55,36.38
8,"Developmental Disability","History: Physical Illness",19.91,8.54
8,"Developmental Disability","Reason: No Family",11.77,13.28
8,"Developmental Disability","History: Alcohol Abuse",67.14,122.89
8,"History: Severe Depression","History: Physical Illness",21.62,37.93
8,"History: Severe Depression","Juvenile System Services",0,1.14
8,"History: Severe Depression","Reason: No Family",33.66327,59.49
8,"History: Severe Depression","History: Physical Abuse",27.95,10.03
8,"Reason: Substance Abuse","History: Severe Depression",2.35,7.43
8,"Reason: Substance Abuse","Juvenile Detention Involvement",0.43,2.56
8,"Reason: Substance Abuse","Reason: Job",100.12,60.61
8,"Reason: Substance Abuse","Reason: Eviction",79.25,65.16
8,"Reason: Substance Abuse","History: Physical Illness",7.13,9.36
8,"Reason: Substance Abuse","Juvenile System Services",0,5.59
8,"Reason: Substance Abuse","Reason: No Family",49.05147,26.05
8,"Reason: Substance Abuse","History: Physical Abuse",46.04,3.71
8,"Reason: Substance Abuse","Reason: Unihabitable Housing",1.94,6.19
8,"HIV Positive","Reason: Job",5.24,1.19
8,"HIV Positive","Reason: Eviction",5.91,3.9
8,"HIV Positive","Reason: No Family",11.92,1.043892
8,"HIV Positive","History: Alcohol Abuse",13.5,5.79
8,"Juvenile Detention Involvement","Reason: No Family",0.0010162,0.0001767
8,"Reason: Job","History: Severe Depression",14.52,13.87
8,"Reason: Job","Juvenile Detention Involvement",0.42,3.79
8,"Reason: Job","Reason: Eviction",92.37,99.19
8,"Reason: Job","History: Physical Illness",29.82,43.25
8,"Reason: Job","Juvenile System Services",13.72,2.59
8,"Reason: Job","Reason: No Family",89,66.99
8,"Reason: Job","History: Physical Abuse",53.25,13.16
8,"Reason: Job","Reason: Unihabitable Housing",23.27,53.38
8,"Reason: Eviction","History: Severe Depression",179.29,162.94
8,"Reason: Eviction","Juvenile Detention Involvement",29.02,55.31
8,"Reason: Eviction","History: Physical Illness",50.19,56.2
8,"Reason: Eviction","Juvenile System Services",2.23,21.59
8,"Reason: Eviction","Reason: No Family",94.63,115.2
8,"Reason: Eviction","History: Physical Abuse",236.95,120.34
8,"History: Physical Illness","Juvenile System Services",3.32,0.25
8,"History: Physical Illness","Reason: No Family",27.03025,16.06
8,"History: Physical Illness","History: Physical Abuse",39.49,4.78
8,"Juvenile System Services","Reason: No Family",2.33,0.08
8,"Justice System Past Year","Reason: Substance Abuse",2.54,3.6
8,"Justice System Past Year","Reason: Job",16.17,3.96
8,"Justice System Past Year","Reason: Eviction",20.66,10.16
8,"Justice System Past Year","History: Physical Illness",1.29,0.02
8,"Justice System Past Year","Juvenile System Services",0,10
8,"Justice System Past Year","Reason: No Family",7.59,1.09
8,"Justice System Past Year","History: Alcohol Abuse",20.18,4.32
8,"Reason: Jail Prison","History: Severe Depression",6.8,4.87
8,"Reason: Jail Prison","Reason: Substance Abuse",102.36,47.44
8,"Reason: Jail Prison","Juvenile Detention Involvement",0.2,4.37
8,"Reason: Jail Prison","Reason: Job",11.8,6
8,"Reason: Jail Prison","Reason: Eviction",232.74,58.56
8,"Reason: Jail Prison","History: Physical Illness",0,4.59
8,"Reason: Jail Prison","Juvenile System Services",0,0.44
8,"Reason: Jail Prison","Reason: No Family",10.61,11.28
8,"Reason: Jail Prison","History: Physical Abuse",128.56,6.27
8,"Reason: Jail Prison","Reason: Unihabitable Housing",1.28,1.56
8,"Reason: No Family","Developmental Disability",19.56,5.8
8,"Reason: No Family","History: Severe Depression",2.95,10.57
8,"Reason: No Family","Reason: Substance Abuse",8.58,21.91
8,"Reason: No Family","Juvenile Detention Involvement",14.98,36.8
8,"Reason: No Family","Reason: Job",23.87,35.87
8,"Reason: No Family","Reason: Eviction",72.95,101.18
8,"Reason: No Family","History: Physical Illness",14.29,12.96
8,"Reason: No Family","Juvenile System Services",27.00919,30.94106
8,"Reason: No Family","Reason: Jail Prison",0.6,2.3
8,"Reason: No Family","Reason: No Family",50.08323,64.01062
8,"Reason: No Family","History: Physical Abuse",28.36,1.84
8,"Reason: No Family","History: Alcohol Abuse",92.68,90.57
8,"History: Physical Abuse","Juvenile Detention Involvement",2.11,17.16
8,"History: Physical Abuse","Juvenile System Services",0,1.4
8,"History: Physical Abuse","Reason: No Family",29.01,24.3
8,"Reason: Unihabitable Housing","History: Severe Depression",17.81,10.58
8,"Reason: Unihabitable Housing","Reason: Eviction",85.78,43.54
8,"Reason: Unihabitable Housing","History: Physical Illness",34.42,12.72
8,"Reason: Unihabitable Housing","Juvenile System Services",0,1.51
8,"Reason: Unihabitable Housing","Reason: No Family",0.2468116,4.44
8,"Reason: Unihabitable Housing","History: Physical Abuse",15,2.34
8,"History: Alcohol Abuse","History: Severe Depression",7.3,31.89
8,"History: Alcohol Abuse","Reason: Substance Abuse",136.23,72.92
8,"History: Alcohol Abuse","Juvenile Detention Involvement",75.67,26.71
8,"History: Alcohol Abuse","Reason: Job",260.54,114.83
8,"History: Alcohol Abuse","Reason: Eviction",175.74,171.64
8,"History: Alcohol Abuse","History: Physical Illness",16.32,67.23
8,"History: Alcohol Abuse","Juvenile System Services",9.13,58.65
8,"History: Alcohol Abuse","Reason: Jail Prison",174.18,106.35
8,"History: Alcohol Abuse","Reason: No Family",217.64,221.47
8,"History: Alcohol Abuse","History: Physical Abuse",163.79,49.69
8,"History: Alcohol Abuse","Reason: Unihabitable Housing",139.18,13.39
8,"History Drug Alcohol","Developmental Disability",18.37,28.39
8,"History Drug Alcohol","History: Severe Depression",13.86,41.27
8,"History Drug Alcohol","Reason: Substance Abuse",28.41,46.86
8,"History Drug Alcohol","HIV Positive",95.33,43.11
8,"History Drug Alcohol","Juvenile Detention Involvement",5.5,26.71
8,"History Drug Alcohol","Reason: Job",108.41,99.15
8,"History Drug Alcohol","Reason: Eviction",135.14,234.74
8,"History Drug Alcohol","History: Physical Illness",40.59,45.97
8,"History Drug Alcohol","Juvenile System Services",52.55,53.01
8,"History Drug Alcohol","Justice System Past Year",50.96,72.12
8,"History Drug Alcohol","Reason: Jail Prison",27,97
8,"History Drug Alcohol","Reason: No Family",186.05,128.91
8,"History Drug Alcohol","History: Physical Abuse",13.53,20.37
8,"History Drug Alcohol","Reason: Unihabitable Housing",23.42,0.39
8,"History Drug Alcohol","History: Alcohol Abuse",210.02,567.36
